Dataset;Latitude;Longitude
MOOSE;40.7678;4.093
MOOSE;43.0045;5.199
MOOSE;43.0045;5.199
MOOSE;43.0045;5.199
MOOSE;43.0045;5.199
MOOSE;43.0045;5.199
MOOSE;43.0045;5.199
ASTAN;48.778;-3.9375
SOLA;42.29;3.8
BBMO;41.67;2.8
